type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d_lat;geo_point_2d_long
SANISETTE;;face au 4 BOULEVARD RICHARD LENOIR;75011;24 h / 24;Oui;;;"{""coordinates"": [[2.3697001838310947, 48.853983171388194]], ""type"": ""MultiPoint""}";48.853983171388194;2.3697001838310947
SANISETTE;;164  BOULEVARD VOLTAIRE;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.383553397253132, 48.85564376523425]], ""type"": ""MultiPoint""}";48.85564376523425;2.383553397253132
SANISETTE;;27  AVENUE D IVRY;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.366856434532836, 48.82266348081883]], ""type"": ""MultiPoint""}";48.82266348081883;2.366856434532836
SANISETTE;;face au 36 RUE DIDOT;75014;24 h / 24;Oui;;;"{""coordinates"": [[2.3201789580568954, 48.831657967806095]], ""type"": ""MultiPoint""}";48.831657967806095;2.3201789580568954
SANISETTE;;63  AVENUE DU GENERAL LECLERC;75014;24 h / 24;Oui;;;"{""coordinates"": [[2.3279795895584483, 48.82896483276907]], ""type"": ""MultiPoint""}";48.82896483276907;2.3279795895584483
TOILETTES;;JARDIN HENRI SAUVAGE;75018;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-henri-sauvage-ex-square-amiraux-boinod-2702;"{""coordinates"": [[2.3523880408452515, 48.89412215800546]], ""type"": ""MultiPoint""}";48.89412215800546;2.3523880408452515
TOILETTES;;SQUARE DU TEMPLE;75003;Voir fiche équipement;Non;Oui;https://www.paris.fr/equipements/square-du-temple-elie-wiesel-2425;"{""coordinates"": [[2.3604997434830852, 48.86428649324811]], ""type"": ""MultiPoint""}";48.86428649324811;2.3604997434830852
TOILETTES;;JARDIN DU MOULIN DE LA POINTE;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-du-monument-aux-meres-francaises-2564;"{""coordinates"": [[2.356788716578511, 48.82101412751667]], ""type"": ""MultiPoint""}";48.82101412751667;2.356788716578511
TOILETTES;;BOIS DE VINCENNES - PARC FLORAL DE PARIS - PINEDE;75012;Voir fiche équipement;Oui;Oui;https://www.paris.fr/equipements/parc-floral-de-paris-1;"{""coordinates"": [[2.4446432727101697, 48.838257002553206]], ""type"": ""MultiPoint""}";48.838257002553206;2.4446432727101697
TOILETTES;;JARDIN CATHERINE LABOURE;75007;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-catherine-laboure-2465;"{""coordinates"": [[2.320485389226217, 48.851401300193594]], ""type"": ""MultiPoint""}";48.851401300193594;2.320485389226217
TOILETTES;;JARDIN JAMES JOYCE;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-james-joyce-2560;"{""coordinates"": [[2.3737508079721192, 48.836321683521824]], ""type"": ""MultiPoint""}";48.836321683521824;2.3737508079721192
WC PUBLICS PERMANENTS;;Parc Rives de Seine;75007;;Oui;;;"{""coordinates"": [[2.3195679829481666, 48.86260809408294]], ""type"": ""MultiPoint""}";48.86260809408294;2.3195679829481666
SANISETTE;;RUE DU THEATRE;75015;6 h - 1 h;Oui;;;"{""coordinates"": [[2.287920080193902, 48.8490352798541]], ""type"": ""MultiPoint""}";48.8490352798541;2.287920080193902
SANISETTE;;132  BOULEVARD BESSIERES;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.314293551735249, 48.894846104664346]], ""type"": ""MultiPoint""}";48.894846104664346;2.314293551735249
SANISETTE;;2  RUE MONTCALM;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3352214793880184, 48.89178882470804]], ""type"": ""MultiPoint""}";48.89178882470804;2.3352214793880184
SANISETTE;;135  RUE DAMREMONT;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.3382696834994623, 48.89654892045481]], ""type"": ""MultiPoint""}";48.89654892045481;2.3382696834994623
SANISETTE;;PLACE DE LA CHAPELLE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.35909847681889, 48.88464490930497]], ""type"": ""MultiPoint""}";48.88464490930497;2.35909847681889
SANISETTE;;face au 45 AVENUE SIMON BOLIVAR;75019;24 h / 24;Oui;;;"{""coordinates"": [[2.380541294246003, 48.87623316458195]], ""type"": ""MultiPoint""}";48.87623316458195;2.380541294246003
SANISETTE;;face au 121 RUE DES PYRENEES;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.404517268525504, 48.85704901565088]], ""type"": ""MultiPoint""}";48.85704901565088;2.404517268525504
